placa;fecha_inicio;fecha_vencimiento;tecnico_asignado;estado;tipo_vehiculo
TON81E;3/08/2025 0:00;3/08/2026;11;Activo;Moto
IVS28F;20/10/2024;28/01/2026;13;Activo;Moto
OBR29E;20/10/2024;10/08/2026;12;Activo;Moto
FJT58G;20/10/2024;7/06/2026;15;Activo;Moto
YAB59E;20/10/2024;18/01/2026;16;Activo;Moto
LVA91E;20/10/2024;15/06/2026;17;Activo;Moto
QXE96E;20/10/2024;8/08/2026;18;Activo;Moto
PGQ08G;20/10/2024;7/04/2026;19;Activo;Moto
VKU65F;20/10/2024;9/07/2026;20;Activo;Moto
IKW70F;20/10/2024;0/01/1900;21;Activo;0
OFU41H;20/10/2024;15/05/2027;22;Activo;Moto
MSZ23F;20/10/2024;10/12/2025;23;Activo;Moto
WOC72D;20/10/2024;8/09/2026;24;Activo;Moto
USF60F;20/10/2024;21/08/2026;28;Activo;Moto
CZE19E;20/10/2024;19/05/2026;29;Activo;Moto
ZLH58F;20/10/2024;22/11/2025;33;Activo;Moto
SUH95F;20/10/2024;27/11/2025;34;Activo;Moto
JKV099;20/10/2024;8/10/2026;35;Activo;Camioneta
MWU65F;20/10/2024;15/01/2026;36;Activo;Moto
SBF56D;20/10/2024;23/12/2025;37;Activo;Moto
YUG15D;20/10/2024;0/01/1900;38;Activo;Moto
RRC34H;20/10/2024;18/07/2027;39;Activo;Moto
NDR68G;20/10/2024;13/01/2026;40;Activo;Moto
YOP59E;20/10/2024;23/11/2025;41;Activo;Moto
OUK25E;20/10/2024;18/10/2025;42;Activo;Moto
IEM43G;20/10/2024;20/06/2026;43;Activo;Moto
WGZ910;20/10/2024;10/10/2026;44;Activo;Camioneta
YSM11E;20/10/2024;11/03/2026;45;Activo;Moto
OBC73E;20/10/2024;6/06/2026;46;Activo;Moto
DIY31H;20/10/2024;23/08/2026;47;Activo;Moto
KZV21G;20/10/2024;6/10/2025;48;Activo;Moto
GZD43E;20/10/2024;22/08/2025;49;Activo;Moto
UOY59F;20/10/2024;26/05/2026;50;Activo;Moto
SPE003;20/10/2024;16/04/2026;52;Activo;Camioneta
UHJ51H;20/10/2024;2/09/2027;53;Activo;Moto
CAZ60E;20/10/2024;8/02/2026;54;Activo;Moto
BON11G;20/10/2024;NA;55;Activo;Moto
FQQ61G;20/10/2024;22/05/2025;56;Activo;Moto
