placa;fecha_inicio;fecha_vencimiento;valor_prima;tecnico_asignado;estado
TON81E;22/07/2025;22/07/2026;350000.00;11;Activo
IVS28F;28/01/2025;28/01/2026;350000.00;13;Activo
OBR29E;15/08/2025;15/08/2026;350000.00;12;Activo
FJT58G;7/06/2025;7/06/2026;350000.00;15;Activo
YAB59E;25/02/2025;25/02/2026;350000.00;16;Activo
LVA91E;24/04/2025;24/04/2026;350000.00;17;Activo
QXE96E;8/08/2025;8/08/2026;350000.00;18;Activo
PGQ08G;4/04/2025;4/04/2026;350000.00;19;Activo
VKU65F;11/07/2025;11/07/2026;350000.00;20;Activo
IKW70F;0/01/1900;0/01/1900;350000.00;21;Activo
OFU41H;15/05/2025;15/05/2026;350000.00;22;Activo
MSZ23F;20/12/2024;20/12/2025;350000.00;23;Activo
WOC72D;9/09/2025;9/09/2026;350000.00;24;Activo
USF60F;20/08/2025;20/08/2026;350000.00;28;Activo
CZE19E;20/08/2025;20/08/2026;350000.00;29;Activo
ZLH58F;17/01/2025;17/01/2026;350000.00;33;Activo
SUH95F;7/05/2025;7/05/2026;350000.00;34;Activo
JKV099;9/10/2025;9/10/2026;350000.00;35;Activo
MWU65F;11/01/2025;11/01/2026;350000.00;36;Activo
SBF56D;24/12/2024;24/12/2025;350000.00;37;Activo
YUG15D;29/01/2025;29/01/2026;350000.00;38;Activo
RRC34H;14/07/2025;14/07/2026;350000.00;39;Activo
NDR68G;13/01/2025;13/01/2026;350000.00;40;Activo
YOP59E;7/12/2024;7/12/2025;350000.00;41;Activo
OUK25E;16/10/2024;16/10/2025;350000.00;42;Activo
IEM43G;22/06/2025;22/06/2026;350000.00;43;Activo
WGZ910;9/10/2025;9/10/2026;350000.00;44;Activo
YSM11E;17/03/2025;17/03/2026;350000.00;45;Activo
OBC73E;29/04/2025;29/04/2026;350000.00;46;Activo
DIY31H;22/08/2025;22/08/2026;350000.00;47;Activo
KZV21G;7/10/2024;7/10/2025;350000.00;48;Activo
GZD43E;8/08/2024;8/08/2025;350000.00;49;Activo
UOY59F;29/05/2025;29/05/2026;350000.00;50;Activo
SPE003;30/04/2025;30/04/2026;350000.00;52;Activo
UHJ51H;1/09/2025;1/09/2026;350000.00;53;Activo
CAZ60E;14/02/2025;14/02/2026;350000.00;54;Activo
BON11G;;;350000.00;55;Activo
FQQ61G;18/05/2024;18/05/2025;350000.00;56;Activo
HLZ17G;20/01/2025;20/01/2026;350000.00;57;Activo
YHU61F;23/12/2024;23/12/2025;350000.00;58;Activo
STM48F;4/02/2025;4/02/2026;350000.00;59;Activo
ETI31E;;;350000.00;60;Activo
JUK184;26/04/2025;26/04/2026;350000.00;61;Activo
WLR70E;29/05/2024;29/05/2025;350000.00;62;Activo
IFV23G;15/07/2025;15/07/2026;350000.00;64;Activo
SRN29F;10/06/2025;10/06/2026;350000.00;66;Activo
